Date,result,rsi_7,rsi_14,roc_7,golden_cross_sma_25_75,golden_cross_sma_5_25,bband_signal
2017-08-29,0.0,33.44923878013407,35.32673361114034,-0.45317220543806824,0.0,0.0,0.0
2017-08-30,0.0,48.66559042534353,42.62062007652474,0.6063668519454168,0.0,0.0,0.0
2017-08-31,0.0,59.47549808282461,48.83492425971793,1.3650151668351818,0.0,0.0,0.0
2017-09-01,0.0,62.133454439993876,50.48494925988454,1.3622603430877955,0.0,0.0,0.0
2017-09-04,0.0,45.570037191803515,43.335974509244,0.8105369807497542,0.0,0.0,0.0
2017-09-05,1.0,38.61680604082955,39.82028903442718,-0.3022670025188967,0.0,0.0,0.0
2017-09-06,1.0,36.8287951705945,38.893560776253494,-0.45340050377833396,0.0,0.0,0.0
2017-09-07,1.0,40.066308899193004,40.387624461701286,0.10116337885686111,0.0,0.0,0.0
2017-09-08,0.0,31.821478897799416,36.251317948149946,-1.25565042692114,0.0,0.0,0.0
2017-09-11,1.0,55.05959160909191,48.48819359770488,-0.5486284289276777,0.0,0.0,0.0
2017-09-12,1.0,66.12464909015988,55.965525260858485,0.3982080637132901,0.0,0.0,0.0
2017-09-13,1.0,69.5475927565645,58.503849139812445,1.8090452261306567,0.0,1.0,0.0
2017-09-14,1.0,66.0851386473701,56.93304938087089,2.1728145528044474,0.0,0.0,0.0
2017-09-15,0.0,70.0050749699105,59.563767248995404,2.7834008097165963,0.0,0.0,0.0
2017-09-19,0.0,80.88699957317552,68.35359404874833,4.547751389590693,0.0,0.0,0.0
2017-09-20,0.0,81.30349623199137,68.73875914537496,5.340793489318418,0.0,0.0,0.0
2017-09-21,0.0,82.42079345528232,69.7306199935381,4.112337011033107,0.0,0.0,0.0
2017-09-22,0.0,76.05754802785896,66.98410348548654,2.627664848785316,0.0,0.0,0.0
2017-09-25,0.0,78.90732916155949,68.95911111937569,2.615992102665343,0.0,0.0,0.0
